id,created_at,text
1408565146218283014,2021-06-25 23:17:55,@flcnhvy Schedule driver there is regulatory approval. Has to be certified for each aircraft type. Focusing on 737… https://t.co/jyBi7VHsMQ
1408560379463077891,2021-06-25 22:58:58,"All 72 orbital planes activate in August, plus many other improvements, enabling global coverage, except for polar… https://t.co/SvrPDoVAVj"
1408558492009566214,2021-06-25 22:51:28,"Starlink simultaneously active users just exceeded the strategically important threshold of 69,420 last night!"
1408545456746020866,2021-06-25 21:59:41,"@marcodzo @Tesla Sometimes people think it is performance, but safety is always the primary design requirement for a Tesla"
